Model,Bal Acc,F1 (Anomaly),ROC-AUC,Dataset,Test Condition
AE (Mediana + 3*MAD),1.0,1.0,1.0,UOEMD,Load_No_Load_Speed_45Hz
Isolation Forest,1.0,1.0,1.0,UOEMD,Load_No_Load_Speed_60Hz
One-Class SVM,0.95,0.9929078014184397,1.0,UOEMD,Load_No_Load_Speed_60Hz
AE (Média + 2σ),1.0,1.0,1.0,UOEMD,Load_No_Load_Speed_60Hz
AE (Percentil 99),1.0,1.0,1.0,UOEMD,Load_No_Load_Speed_60Hz
AE (Mediana + 3*MAD),1.0,1.0,1.0,UOEMD,Load_No_Load_Speed_60Hz
Isolation Forest,0.8357142857142857,0.864,0.8885714285714286,UOEMD,Load_No_Load_Speed_Dec_45_to_15Hz
One-Class SVM,0.75,0.9655172413793104,1.0,UOEMD,Load_No_Load_Speed_Dec_45_to_15Hz
AE (Média + 2σ),0.8357142857142856,0.9645390070921985,0.9857142857142857,UOEMD,Load_No_Load_Speed_Dec_45_to_15Hz
AE (Percentil 99),0.9571428571428571,0.9552238805970149,0.9857142857142857,UOEMD,Load_No_Load_Speed_Dec_45_to_15Hz
AE (Mediana + 3*MAD),0.75,0.9655172413793104,0.9857142857142857,UOEMD,Load_No_Load_Speed_Dec_45_to_15Hz
Isolation Forest,0.9714285714285714,0.9705882352941176,1.0,UOEMD,Load_No_Load_Speed_Dec_60_to_30Hz
One-Class SVM,0.8,0.9722222222222222,1.0,UOEMD,Load_No_Load_Speed_Dec_60_to_30Hz
AE (Média + 2σ),0.9785714285714286,0.9781021897810219,1.0,UOEMD,Load_No_Load_Speed_Dec_60_to_30Hz
AE (Percentil 99),0.9785714285714286,0.9781021897810219,1.0,UOEMD,Load_No_Load_Speed_Dec_60_to_30Hz
AE (Mediana + 3*MAD),1.0,1.0,1.0,UOEMD,Load_No_Load_Speed_Dec_60_to_30Hz
Isolation Forest,0.8642857142857143,0.8992248062015504,0.952857142857143,UOEMD,Load_No_Load_Speed_Inc_15_to_45Hz
One-Class SVM,0.65,0.9523809523809523,0.9885714285714285,UOEMD,Load_No_Load_Speed_Inc_15_to_45Hz
AE (Média + 2σ),0.7428571428571429,0.9583333333333334,0.9714285714285714,UOEMD,Load_No_Load_Speed_Inc_15_to_45Hz
AE (Percentil 99),0.7857142857142857,0.9577464788732394,0.9714285714285714,UOEMD,Load_No_Load_Speed_Inc_15_to_45Hz
AE (Mediana + 3*MAD),0.65,0.9523809523809523,0.9714285714285714,UOEMD,Load_No_Load_Speed_Inc_15_to_45Hz
Isolation Forest,1.0,1.0,1.0,UOEMD,Load_No_Load_Speed_Inc_30_to_60Hz
One-Class SVM,0.65,0.9523809523809523,0.9942857142857143,UOEMD,Load_No_Load_Speed_Inc_30_to_60Hz
AE (Média + 2σ),0.95,0.9929078014184397,0.9928571428571429,UOEMD,Load_No_Load_Speed_Inc_30_to_60Hz
AE (Percentil 99),0.95,0.9929078014184397,0.9928571428571429,UOEMD,Load_No_Load_Speed_Inc_30_to_60Hz
AE (Mediana + 3*MAD),0.95,0.9929078014184397,0.9928571428571429,UOEMD,Load_No_Load_Speed_Inc_30_to_60Hz
