Dataset,Task,Test Condition,Model,Bal Acc,Macro F1,ROC-AUC
CWRU_48k,Diagnosis,Load_1HP_Sev_0.007,Multi-Head DL (MLP),0.3833333333333333,0.30917874396135264,0.8395833333333332
CWRU_48k,Diagnosis,Load_1HP_Sev_0.007,Multi-Head DL (TABNET),0.7999999999999999,0.7896825396825397,0.9112499999999999
CWRU_48k,Diagnosis,Load_1HP_Sev_0.014,Random Forest,0.9500000000000001,0.9497171590194845,0.0
CWRU_48k,Diagnosis,Load_1HP_Sev_0.014,SVM (RBF),0.7214285714285715,0.7212484993997599,0.0
CWRU_48k,Diagnosis,Load_1HP_Sev_0.014,Multi-Head DL (MLP),0.6166666666666667,0.49990567817392945,0.7995448179271709
CWRU_48k,Diagnosis,Load_1HP_Sev_0.014,Multi-Head DL (TABNET),0.7333333333333334,0.7430412724530372,0.8635854341736695
CWRU_48k,Diagnosis,Load_1HP_Sev_0.021,Random Forest,1.0,1.0,0.0
CWRU_48k,Diagnosis,Load_1HP_Sev_0.021,SVM (RBF),1.0,1.0,0.0
CWRU_48k,Diagnosis,Load_1HP_Sev_0.021,Multi-Head DL (MLP),0.5,0.38888888888888884,0.8866666666666667
CWRU_48k,Diagnosis,Load_1HP_Sev_0.021,Multi-Head DL (TABNET),0.7166666666666667,0.6373111316682085,0.9970833333333333
CWRU_48k,Diagnosis,Load_2HP_Sev_0.007,Random Forest,1.0,1.0,0.0
CWRU_48k,Diagnosis,Load_2HP_Sev_0.007,SVM (RBF),0.7833333333333333,0.7734344933751168,0.0
CWRU_48k,Diagnosis,Load_2HP_Sev_0.007,Multi-Head DL (MLP),0.39999999999999997,0.3395061728395062,0.8129166666666667
CWRU_48k,Diagnosis,Load_2HP_Sev_0.007,Multi-Head DL (TABNET),0.8333333333333334,0.8222222222222223,0.8570833333333333
CWRU_48k,Diagnosis,Load_2HP_Sev_0.014,Random Forest,0.9500000000000001,0.9495622263914947,0.0
CWRU_48k,Diagnosis,Load_2HP_Sev_0.014,SVM (RBF),0.6166666666666667,0.38596491228070173,0.0
CWRU_48k,Diagnosis,Load_2HP_Sev_0.014,Multi-Head DL (MLP),0.4166666666666667,0.41073726788012505,0.6908333333333333
CWRU_48k,Diagnosis,Load_2HP_Sev_0.014,Multi-Head DL (TABNET),0.3833333333333333,0.36704653371320034,0.6974999999999999
CWRU_48k,Diagnosis,Load_2HP_Sev_0.021,Random Forest,1.0,1.0,0.0
CWRU_48k,Diagnosis,Load_2HP_Sev_0.021,SVM (RBF),0.9666666666666667,0.7371794871794872,0.0
CWRU_48k,Diagnosis,Load_2HP_Sev_0.021,Multi-Head DL (MLP),0.9666666666666667,0.9665831244778613,1.0
CWRU_48k,Diagnosis,Load_2HP_Sev_0.021,Multi-Head DL (TABNET),0.7999999999999999,0.7922222222222222,0.9295833333333333
CWRU_48k,Diagnosis,Load_3HP_Sev_0.007,Random Forest,1.0,1.0,0.0
